code,description,car_type,category,common_cause,fix_tip
P0038,HO2S Heater Control Circuit High Bank 1 Sensor 2,Toyota All Models,Electrical,Downstream O2 heater wiring open/short,Check downstream O2 wiring harness
P0045,Turbo/Super Charger Boost Control Solenoid Circuit,Toyota Hilux/Land Cruiser Turbo,Electrical,Boost control solenoid wiring fault,Check boost solenoid connector and wiring
P0046,Turbo Boost Control Solenoid Range/Performance,Toyota Hilux/Land Cruiser Turbo,Mechanical,Boost solenoid stuck or vacuum leak,Test boost solenoid operation,check vacuum lines
P0047,Turbo Boost Control Solenoid Circuit Low,Toyota Hilux/Land Cruiser Turbo,Electrical,Boost solenoid wiring short to ground,Check boost solenoid wiring
P0048,Turbo Boost Control Solenoid Circuit High,Toyota Hilux/Land Cruiser Turbo,Electrical,Boost solenoid wiring short to battery,Check boost solenoid wiring for power short
P0050,HO2S Heater Control Circuit Bank 2 Sensor 1,Toyota V6/V8 Models,Electrical,Bank 2 upstream O2 heater fault,Replace bank 2 upstream O2 sensor
P0051,HO2S Heater Control Circuit Low Bank 2 Sensor 1,Toyota V6/V8 Models,Electrical,Bank 2 O2 heater wiring short,Check bank 2 O2 sensor wiring
P0052,HO2S Heater Control Circuit High Bank 2 Sensor 1,Toyota V6/V8 Models,Electrical,Bank 2 O2 heater wiring open/short,Check bank 2 O2 sensor wiring
P0053,HO2S Heater Resistance Bank 1 Sensor 1,Toyota All Models,Electrical,O2 sensor heater resistance out of range,Replace upstream O2 sensor
P0054,HO2S Heater Resistance Bank 1 Sensor 2,Toyota All Models,Electrical,Downstream O2 heater resistance fault,Replace downstream O2 sensor
P0056,HO2S Heater Control Circuit Bank 2 Sensor 2,Toyota V6/V8 Models,Electrical,Bank 2 downstream O2 heater fault,Replace bank 2 downstream O2 sensor
P0057,HO2S Heater Control Circuit Low Bank 2 Sensor 2,Toyota V6/V8 Models,Electrical,Bank 2 downstream O2 wiring short,Check bank 2 downstream O2 wiring
P0058,HO2S Heater Control Circuit High Bank 2 Sensor 2,Toyota V6/V8 Models,Electrical,Bank 2 downstream O2 wiring open,Check bank 2 downstream O2 wiring
P0068,MAP/MAF Throttle Position Correlation,Toyota All Models,Mechanical,Vacuum leak or throttle body dirty,Check for vacuum leaks,clean throttle body
P0069,Manifold Absolute Pressure Barometric Pressure Correlation,Toyota All Models,Electrical,MAP sensor fault or wiring issue,Test MAP sensor voltage,check wiring
P0070,Ambient Air Temperature Sensor Circuit,Toyota All Models,Electrical,AAT sensor wiring fault,Check AAT sensor connector and wiring
P0071,Ambient Air Temperature Sensor Range/Performance,Toyota All Models,Electrical,AAT sensor out of range,Replace ambient air temperature sensor
P0072,Ambient Air Temperature Sensor Circuit Low,Toyota All Models,Electrical,AAT sensor wiring short to ground,Check AAT sensor wiring for shorts
P0073,Ambient Air Temperature Sensor Circuit High,Toyota All Models,Electrical,AAT sensor wiring open or short to battery,Check AAT sensor wiring harness
P0074,Ambient Air Temperature Sensor Intermittent,Toyota All Models,Electrical,AAT sensor loose connection,Secure AAT sensor connector
P0075,Intake Valve Control Solenoid Circuit Bank 1,Toyota VVT-i Models,Electrical,Intake VVT solenoid wiring fault,Check intake VVT solenoid wiring
P0076,Intake Valve Control Solenoid Circuit Low Bank 1,Toyota VVT-i Models,Electrical,Intake VVT solenoid short to ground,Check intake VVT wiring for shorts
P0077,Intake Valve Control Solenoid Circuit High Bank 1,Toyota VVT-i Models,Electrical,Intake VVT solenoid short to battery,Check intake VVT wiring for power short
P0078,Exhaust Valve Control Solenoid Circuit Bank 1,Toyota VVT-iE Models,Electrical,Exhaust VVT solenoid wiring fault,Check exhaust VVT solenoid wiring
P0079,Exhaust Valve Control Solenoid Circuit Low Bank 1,Toyota VVT-iE Models,Electrical,Exhaust VVT solenoid short to ground,Check exhaust VVT wiring
P0080,Exhaust Valve Control Solenoid Circuit High Bank 1,Toyota VVT-iE Models,Electrical,Exhaust VVT solenoid short to battery,Check exhaust VVT wiring harness
P0087,Fuel Rail/System Pressure Too Low,Toyota Diesel/Hybrid Models,Mechanical,Weak fuel pump or clogged filter,Replace fuel filter,test fuel pump pressure
P0088,Fuel Rail/System Pressure Too High,Toyota Diesel/Hybrid Models,Mechanical,Faulty fuel pressure regulator,Replace fuel pressure regulatorP0089,Fuel Pressure Regulator Performance,Toyota All Models,Mechanical,Regulator stuck or spring weak,Replace fuel pressure regulator
P0090,Fuel Pressure Regulator Control Circuit,Toyota All Models,Electrical,Regulator control wiring fault,Check regulator control wiring
P0091,Fuel Pressure Regulator Control Circuit Low,Toyota All Models,Electrical,Regulator control short to ground,Check regulator control wiring for shorts
P0092,Fuel Pressure Regulator Control Circuit High,Toyota All Models,Electrical,Regulator control short to battery,Check regulator control wiring for power short
P0093,Fuel System Leak Detected Large Leak,Toyota All Models,Mechanical,Fuel line leak or injector seal leak,Inspect fuel lines and injector seals
P0094,Fuel System Leak Detected Small Leak,Toyota All Models,Mechanical,Small fuel vapor leak,Smoke test fuel system
P0095,Intake Air Temperature Sensor 2 Circuit,Toyota All Models,Electrical,IAT2 sensor wiring fault,Check IAT2 sensor connector
P0096,Intake Air Temperature Sensor 2 Range/Performance,Toyota All Models,Electrical,IAT2 sensor out of range,Replace IAT2 sensor
P0097,Intake Air Temperature Sensor 2 Circuit Low,Toyota All Models,Electrical,IAT2 wiring short to ground,Check IAT2 wiring for shorts
P0098,Intake Air Temperature Sensor 2 Circuit High,Toyota All Models,Electrical,IAT2 wiring open or short to battery,Check IAT2 wiring harness
P0099,Intake Air Temperature Sensor 2 Intermittent,Toyota All Models,Electrical,IAT2 loose connection,Secure IAT2 sensor connector
P0100,Mass Air Flow Circuit Malfunction,Hyundai Accent/Atos,Electrical,MAF sensor dirty or wiring fault,Clean MAF with electronics cleaner,check wiring
P0101,Mass Air Flow Circuit Range/Performance,Hyundai Accent/Atos,Electrical,Dirty MAF or vacuum leak,Clean MAF sensor,smoke test for vacuum leaks
P0102,Mass Air Flow Circuit Low Input,Hyundai Accent/Atos,Electrical,MAF wiring damaged or disconnected,Check MAF connector and wiring harness
P0103,Mass Air Flow Circuit High Input,Hyundai Accent/Atos,Electrical,MAF sensor shorted or faulty,Test MAF voltage,replace if faulty
P0105,Manifold Absolute Pressure Circuit Malfunction,Hyundai Accent/Atos,Electrical,MAP sensor fault or wiring issue,Test MAP sensor voltage,check wiring
P0106,Manifold Absolute Pressure Range/Performance,Hyundai Accent/Atos,Electrical,MAP sensor out of range or vacuum leak,Check for vacuum leaks,test MAP sensor
P0107,Manifold Absolute Pressure Circuit Low,Hyundai Accent/Atos,Electrical,MAP wiring short to ground,Check MAP sensor wiring for shorts
P0108,Manifold Absolute Pressure Circuit High,Hyundai Accent/Atos,Electrical,MAP wiring open or short to battery,Check MAP sensor wiring harness
P0110,Intake Air Temperature Sensor Circuit,Hyundai Accent/Atos,Electrical,IAT sensor wiring fault,Check IAT sensor connector
P0111,Intake Air Temperature Sensor Range/Performance,Hyundai Accent/Atos,Electrical,IAT sensor out of range,Replace IAT sensor
P0112,Intake Air Temperature Sensor Circuit Low,Hyundai Accent/Atos,Electrical,IAT wiring short to ground,Check IAT wiring for shorts
P0113,Intake Air Temperature Sensor Circuit High,Hyundai Accent/Atos,Electrical,IAT wiring open or short to battery,Check IAT wiring harness
P0115,Engine Coolant Temperature Circuit Malfunction,Hyundai Accent/Atos,Electrical,ECT sensor fault or wiring issue,Test ECT sensor resistance,check wiring
P0116,Engine Coolant Temperature Range/Performance,Hyundai Accent/Atos,Mechanical,Thermostat stuck or ECT sensor drift,Replace thermostat,test ECT sensor
P0117,Engine Coolant Temperature Circuit Low,Hyundai Accent/Atos,Electrical,ECT sensor shorted or wiring short,Replace ECT sensor,check wiring
P0118,Engine Coolant Temperature Circuit High,Hyundai Accent/Atos,Electrical,ECT sensor open circuit or wiring open,Replace ECT sensor,check wiring
P0120,Throttle Position Sensor Circuit Malfunction,Hyundai Accent/Atos,Electrical,TPS sensor fault or wiring issue,Test TPS voltage sweep,check wiring
P0121,Throttle Position Sensor Range/Performance,Hyundai Accent/Atos,Electrical,TPS out of range or dirty throttle body,Clean throttle body,recalibrate TPS
P0122,Throttle Position Sensor Circuit Low,Hyundai Accent/Atos,Electrical,TPS wiring short to ground,Check TPS wiring for shorts
P0123,Throttle Position Sensor Circuit High,Hyundai Accent/Atos,Electrical,TPS wiring open or short to battery,Check TPS wiring harness,replace TPS
P0125,Insufficient Coolant Temperature For Closed Loop,Hyundai Accent/Atos,Mechanical,Thermostat stuck open or ECT sensor fault,Replace thermostat,test ECT sensor
P0130,O2 Sensor Circuit Malfunction Bank 1 Sensor 1,Hyundai Accent/Atos,Electrical,Upstream O2 sensor faulty,Replace upstream oxygen sensor
P0131,O2 Sensor Circuit Low Voltage Bank 1 Sensor 1,Hyundai Accent/Atos,Electrical,Fuel lean or O2 sensor faulty,Check for vacuum leaks,test O2 sensor
P0132,O2 Sensor Circuit High Voltage Bank 1 Sensor 1,Hyundai Accent/Atos,Electrical,Fuel rich or O2 sensor faulty,Check fuel pressure,test O2 sensor
P0133,O2 Sensor Circuit Slow Response Bank 1 Sensor 1,Hyundai Accent/Atos,Electrical,Aged O2 sensor or exhaust leak,Replace upstream O2 sensor,check exhaust
P0134,O2 Sensor Circuit No Activity Bank 1 Sensor 1,Hyundai Accent/Atos,Electrical,O2 sensor heater or wiring fault,Check O2 sensor heater circuit
P0135,O2 Sensor Heater Circuit Malfunction Bank 1 Sensor 1,Hyundai Accent/Atos,Electrical,O2 sensor heater circuit fault,Replace upstream O2 sensor
P0136,O2 Sensor Circuit Malfunction Bank 1 Sensor 2,Hyundai Accent/Atos,Electrical,Downstream O2 sensor faulty,Replace downstream oxygen sensor
P0137,O2 Sensor Circuit Low Voltage Bank 1 Sensor 2,Hyundai Accent/Atos,Electrical,Catalyst efficiency issue or O2 fault,Check catalytic converter,test O2
P0138,O2 Sensor Circuit High Voltage Bank 1 Sensor 2,Hyundai Accent/Atos,Electrical,Fuel rich condition or O2 fault,Check fuel trim,test downstream O2
P0140,O2 Sensor Circuit No Activity Bank 1 Sensor 2,Hyundai Accent/Atos,Electrical,Downstream O2 heater or wiring fault,Check downstream O2 heater circuit
P0141,O2 Sensor Heater Circuit Malfunction Bank 1 Sensor 2,Hyundai Accent/Atos,Electrical,Downstream O2 heater fault,Replace downstream O2 sensor
P0150,O2 Sensor Circuit Malfunction Bank 2 Sensor 1,Hyundai V6 Models,Electrical,Bank 2 upstream O2 sensor faulty,Replace bank 2 upstream O2 sensor
P0151,O2 Sensor Circuit Low Voltage Bank 2 Sensor 1,Hyundai V6 Models,Electrical,Bank 2 fuel lean or O2 fault,Check bank 2 for vacuum leaks
P0152,O2 Sensor Circuit High Voltage Bank 2 Sensor 1,Hyundai V6 Models,Electrical,Bank 2 fuel rich or O2 fault,Check bank 2 fuel delivery
P0153,O2 Sensor Circuit Slow Response Bank 2 Sensor 1,Hyundai V6 Models,Electrical,Bank 2 aged O2 sensor,Replace bank 2 upstream O2 sensor
P0154,O2 Sensor Circuit No Activity Bank 2 Sensor 1,Hyundai V6 Models,Electrical,Bank 2 O2 heater or wiring fault,Check bank 2 O2 heater circuit
P0155,O2 Sensor Heater Circuit Malfunction Bank 2 Sensor 1,Hyundai V6 Models,Electrical,Bank 2 O2 heater fault,Replace bank 2 upstream O2 sensor
P0160,O2 Sensor Circuit No Activity Bank 2 Sensor 2,Hyundai V6 Models,Electrical,Bank 2 downstream O2 fault,Check bank 2 downstream O2 circuitP0170,Fuel Trim Malfunction Bank 1,Hyundai Accent/Atos,Mechanical,Vacuum leak or fuel delivery issue,Smoke test for leaks,check fuel pressure
P0171,System Too Lean Bank 1,Hyundai Accent/Atos,Mechanical,Vacuum leak or weak fuel pump,Smoke test intake,check fuel pump pressure
P0172,System Too Rich Bank 1,Hyundai Accent/Atos,Mechanical,Clogged air filter or faulty MAF,Replace air filter,clean or replace MAF
P0173,Fuel Trim Malfunction Bank 2,Hyundai V6 Models,Mechanical,Bank 2 vacuum leak or fuel issue,Check bank 2 intake for leaks
P0174,System Too Lean Bank 2,Hyundai V6 Models,Mechanical,Bank 2 vacuum leak,Smoke test bank 2 intake
P0175,System Too Rich Bank 2,Hyundai V6 Models,Mechanical,Bank 2 MAF or injector issue,Check bank 2 MAF and injectors
P0180,Fuel Temperature Sensor Circuit Malfunction,Hyundai Accent/Atos,Electrical,Fuel temp sensor wiring fault,Check fuel temp sensor connector
P0181,Fuel Temperature Sensor Range/Performance,Hyundai Accent/Atos,Electrical,Fuel temp sensor out of range,Replace fuel temperature sensor
P0182,Fuel Temperature Sensor Circuit Low,Hyundai Accent/Atos,Electrical,Fuel temp sensor wiring short,Check fuel temp sensor wiring
P0183,Fuel Temperature Sensor Circuit High,Hyundai Accent/Atos,Electrical,Fuel temp sensor wiring open,Check fuel temp sensor wiring harness
P0190,Fuel Rail Pressure Sensor Circuit Malfunction,Hyundai Accent/Atos,Electrical,FRPS sensor fault or wiring issue,Test FRPS voltage,check wiring
P0191,Fuel Rail Pressure Sensor Range/Performance,Hyundai Accent/Atos,Electrical,FRPS out of range or fuel pressure issue,Check fuel pressure,test FRPS
P0192,Fuel Rail Pressure Sensor Circuit Low,Hyundai Accent/Atos,Electrical,FRPS wiring short to ground,Check FRPS wiring for shorts
P0193,Fuel Rail Pressure Sensor Circuit High,Hyundai Accent/Atos,Electrical,FRPS wiring open or short to battery,Check FRPS wiring harness
P0200,Injector Circuit Malfunction,Hyundai Accent/Atos,Electrical,Injector harness or ECM driver fault,Check injector harness connectors
P0201,Injector Circuit Malfunction Cylinder 1,Hyundai Accent/Atos,Electrical,Injector 1 wiring or connector fault,Check injector 1 connector,resistance
P0202,Injector Circuit Malfunction Cylinder 2,Hyundai Accent/Atos,Electrical,Injector 2 wiring or connector fault,Check injector 2 connector,resistance
P0203,Injector Circuit Malfunction Cylinder 3,Hyundai Accent/Atos,Electrical,Injector 3 wiring or connector fault,Check injector 3 connector,resistance
P0204,Injector Circuit Malfunction Cylinder 4,Hyundai Accent/Atos,Electrical,Injector 4 wiring or connector fault,Check injector 4 connector,resistance
P0210,Injector Circuit Malfunction Cylinder 10,Hyundai V10 Commercial,Electrical,Injector 10 wiring fault,Check injector 10 connector
P0211,Injector Circuit Malfunction Cylinder 11,Hyundai V10 Commercial,Electrical,Injector 11 wiring fault,Check injector 11 connector
P0212,Injector Circuit Malfunction Cylinder 12,Hyundai V12 Commercial,Electrical,Injector 12 wiring fault,Check injector 12 connector
P0215,Engine Shutoff Solenoid Malfunction,Hyundai Commercial Diesel,Electrical,Shutoff solenoid wiring fault,Check engine shutoff solenoid
P0216,Injector Timing Control Circuit Malfunction,Hyundai Diesel Models,Electrical,Injection timing solenoid fault,Check injection timing control
P0219,Engine Overspeed Condition,Hyundai Commercial,Electrical/ Mechanical,RPM sensor fault or governor issue,Check RPM sensor,governor system
P0220,Throttle Position Sensor B Circuit Malfunction,Hyundai Accent/Atos,Electrical,TPS B sensor or wiring fault,Check TPS B connector and wiring
P0221,Throttle Position Sensor B Range/Performance,Hyundai Accent/Atos,Electrical,TPS B out of range,Replace throttle position sensor assembly
P0222,Throttle Position Sensor B Circuit Low,Hyundai Accent/Atos,Electrical,TPS B wiring short to ground,Check TPS B wiring for shorts
P0223,Throttle Position Sensor B Circuit High,Hyundai Accent/Atos,Electrical,TPS B wiring open or short to battery,Check TPS B wiring harness
P0230,Fuel Pump Primary Circuit Malfunction,Hyundai Accent/Atos,Electrical,Fuel pump relay or wiring fault,Check fuel pump relay and fuse
P0231,Fuel Pump Secondary Circuit Low,Hyundai Accent/Atos,Electrical,Fuel pump control circuit low,Check fuel pump control wiring
P0232,Fuel Pump Secondary Circuit High,Hyundai Accent/Atos,Electrical,Fuel pump control circuit high,Check fuel pump control wiring
P0233,Fuel Pump Secondary Circuit Intermittent,Hyundai Accent/Atos,Electrical,Fuel pump control loose connection,Secure fuel pump control connector
P0234,Engine Overboost Condition,Hyundai Turbo Models,Mechanical,Turbo wastegate stuck closed,Check turbo wastegate operation
P0235,Turbocharger Boost Sensor A Circuit,Hyundai Turbo Models,Electrical,Boost sensor wiring fault,Check turbo boost sensor wiring
P0236,Turbocharger Boost Sensor A Range/Performance,Hyundai Turbo Models,Electrical,Boost sensor out of range,Replace turbo boost sensor
P0237,Turbocharger Boost Sensor A Circuit Low,Hyundai Turbo Models,Electrical,Boost sensor wiring short to ground,Check boost sensor wiring for shorts
P0238,Turbocharger Boost Sensor A Circuit High,Hyundai Turbo Models,Electrical,Boost sensor wiring open or short,Check boost sensor wiring harness
P0239,Turbocharger Boost Sensor B Circuit,Hyundai Twin Turbo Models,Electrical,Boost sensor B wiring fault,Check boost sensor B wiring
P0240,Turbocharger Boost Sensor B Range/Performance,Hyundai Twin Turbo Models,Electrical,Boost sensor B out of range,Replace boost sensor B
P0241,Turbocharger Boost Sensor B Circuit Low,Hyundai Twin Turbo Models,Electrical,Boost sensor B wiring short,Check boost sensor B wiring
P0242,Turbocharger Boost Sensor B Circuit High,Hyundai Twin Turbo Models,Electrical,Boost sensor B wiring open,Check boost sensor B wiring
P0243,Turbocharger Wastegate Solenoid A Malfunction,Hyundai Turbo Models,Electrical,Wastegate solenoid wiring fault,Check wastegate solenoid wiring
P0244,Turbocharger Wastegate Solenoid A Range/Performance,Hyundai Turbo Models,Mechanical,Wastegate solenoid stuck,Test wastegate solenoid operation
P0245,Turbocharger Wastegate Solenoid A Low,Hyundai Turbo Models,Electrical,Wastegate solenoid circuit low,Check wastegate solenoid wiring
P0246,Turbocharger Wastegate Solenoid A High,Hyundai Turbo Models,Electrical,Wastegate solenoid circuit high,Check wastegate solenoid wiring
P0251,Injection Pump Fuel Metering Control A,Hyundai Diesel Models,Electrical,Injection pump control fault,Check injection pump control module
P0252,Injection Pump Fuel Metering Control A Range,Hyundai Diesel Models,Electrical,Injection pump control out of range,Test injection pump control
P0253,Injection Pump Fuel Metering Control A Low,Hyundai Diesel Models,Electrical,Injection pump control circuit low,Check injection pump wiring
P0254,Injection Pump Fuel Metering Control A High,Hyundai Diesel Models,Electrical,Injection pump control circuit high,Check injection pump wiringP0255,Injection Pump Fuel Metering Control A Intermittent,Hyundai Diesel Models,Electrical,Injection pump control loose,Secure injection pump connector
P0261,Cylinder 1 Injector Circuit Low,Hyundai Accent/Atos,Electrical,Injector 1 control circuit low,Check injector 1 control wiring
P0262,Cylinder 1 Injector Circuit High,Hyundai Accent/Atos,Electrical,Injector 1 control circuit high,Check injector 1 control wiring
P0263,Cylinder 1 Contribution/Balance Fault,Hyundai Accent/Atos,Mechanical,Injector 1 clogged or weak,Test injector 1 flow,replace if needed
P0264,Cylinder 2 Injector Circuit Low,Hyundai Accent/Atos,Electrical,Injector 2 control circuit low,Check injector 2 control wiring
P0265,Cylinder 2 Injector Circuit High,Hyundai Accent/Atos,Electrical,Injector 2 control circuit high,Check injector 2 control wiring
P0266,Cylinder 2 Contribution/Balance Fault,Hyundai Accent/Atos,Mechanical,Injector 2 clogged or weak,Test injector 2 flow,replace if needed
P0267,Cylinder 3 Injector Circuit Low,Hyundai Accent/Atos,Electrical,Injector 3 control circuit low,Check injector 3 control wiring
P0268,Cylinder 3 Injector Circuit High,Hyundai Accent/Atos,Electrical,Injector 3 control circuit high,Check injector 3 control wiring
P0269,Cylinder 3 Contribution/Balance Fault,Hyundai Accent/Atos,Mechanical,Injector 3 clogged or weak,Test injector 3 flow,replace if needed
P0270,Cylinder 4 Injector Circuit Low,Hyundai Accent/Atos,Electrical,Injector 4 control circuit low,Check injector 4 control wiring
P0271,Cylinder 4 Injector Circuit High,Hyundai Accent/Atos,Electrical,Injector 4 control circuit high,Check injector 4 control wiring
P0272,Cylinder 4 Contribution/Balance Fault,Hyundai Accent/Atos,Mechanical,Injector 4 clogged or weak,Test injector 4 flow,replace if needed
P0273,Cylinder 5 Injector Circuit Low,Hyundai V6 Models,Electrical,Injector 5 control circuit low,Check injector 5 control wiring
P0274,Cylinder 5 Injector Circuit High,Hyundai V6 Models,Electrical,Injector 5 control circuit high,Check injector 5 control wiring
P0275,Cylinder 5 Contribution/Balance Fault,Hyundai V6 Models,Mechanical,Injector 5 clogged or weak,Test injector 5 flow
P0276,Cylinder 6 Injector Circuit Low,Hyundai V6 Models,Electrical,Injector 6 control circuit low,Check injector 6 control wiring
P0277,Cylinder 6 Injector Circuit High,Hyundai V6 Models,Electrical,Injector 6 control circuit high,Check injector 6 control wiring
P0278,Cylinder 6 Contribution/Balance Fault,Hyundai V6 Models,Mechanical,Injector 6 clogged or weak,Test injector 6 flow
P0298,Engine Oil Over Temperature,Hyundai All Models,Mechanical,Low oil level or cooling issue,Check oil level,cooling system
P0299,Turbo/Super Charger Underboost,Hyundai Turbo Models,Mechanical,Turbo leak or wastegate stuck open,Check turbo hoses and wastegate
P0300,Random/Multiple Cylinder Misfire Detected,Hyundai Accent/Atos,Mechanical,Spark plugs,coils,vacuum leak,Replace plugs,check coils,smoke test
P0301,Cylinder 1 Misfire Detected,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 1,Swap coil to test,replace plug
P0302,Cylinder 2 Misfire Detected,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 2,Swap coil to test,replace plug
P0303,Cylinder 3 Misfire Detected,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 3,Swap coil to test,replace plug
P0304,Cylinder 4 Misfire Detected,Hyundai Accent/Atos,Mechanical,Faulty spark plug or coil cylinder 4,Swap coil to test,replace plug
P0305,Cylinder 5 Misfire Detected,Hyundai V6 Models,Mechanical,Faulty spark plug or coil cylinder 5,Swap coil to test cylinder 5
P0306,Cylinder 6 Misfire Detected,Hyundai V6 Models,Mechanical,Faulty spark plug or coil cylinder 6,Swap coil to test cylinder 6
P0320,Ignition Engine Speed Input Circuit,Hyundai Accent/Atos,Electrical,Crank/cam sensor wiring fault,Check crank/cam sensor wiring
P0325,Knock Sensor Circuit Malfunction,Hyundai Accent/Atos,Electrical,Knock sensor faulty or wiring,Replace knock sensor,check wiring
P0326,Knock Sensor Circuit Range/Performance,Hyundai Accent/Atos,Electrical,Knock sensor out of range,Replace knock sensor
P0327,Knock Sensor Circuit Low Input,Hyundai Accent/Atos,Electrical,Knock sensor wiring short to ground,Check knock sensor wiring
P0328,Knock Sensor Circuit High Input,Hyundai Accent/Atos,Electrical,Knock sensor wiring open or short,Check knock sensor wiring
P0335,Crankshaft Position Sensor A Circuit,Hyundai Accent/Atos,Electrical,CKP sensor faulty or wiring,Replace CKP sensor,check wiring
P0336,Crankshaft Position Sensor A Range/Performance,Hyundai Accent/Atos,Electrical,CKP sensor out of range or reluctor damage,Replace CKP sensor,inspect reluctor
P0337,Crankshaft Position Sensor A Circuit Low,Hyundai Accent/Atos,Electrical,CKP wiring short to ground,Check CKP wiring for shorts
P0338,Crankshaft Position Sensor A Circuit High,Hyundai Accent/Atos,Electrical,CKP wiring open or short to battery,Check CKP wiring harness
P0340,Camshaft Position Sensor Circuit,Hyundai Accent/Atos,Electrical,CMP sensor faulty or wiring,Replace CMP sensor,check wiring
P0341,Camshaft Position Sensor Range/Performance,Hyundai Accent/Atos,Electrical,CMP sensor out of range or timing issue,Replace CMP sensor,check timing
P0342,Camshaft Position Sensor Circuit Low,Hyundai Accent/Atos,Electrical,CMP wiring short to ground,Check CMP wiring for shorts
P0343,Camshaft Position Sensor Circuit High,Hyundai Accent/Atos,Electrical,CMP wiring open or short to battery,Check CMP wiring harness
P0350,Ignition Coil Primary/Secondary Circuit,Hyundai Accent/Atos,Electrical,Ignition coil circuit fault,Test ignition coil primary/secondary
P0351,Ignition Coil A Primary/Secondary Circuit,Hyundai Accent/Atos,Electrical,Coil A circuit fault,Replace ignition coil A
P0352,Ignition Coil B Primary/Secondary Circuit,Hyundai Accent/Atos,Electrical,Coil B circuit fault,Replace ignition coil B
P0353,Ignition Coil C Primary/Secondary Circuit,Hyundai V6 Models,Electrical,Coil C circuit fault,Replace ignition coil C
P0354,Ignition Coil D Primary/Secondary Circuit,Hyundai V6 Models,Electrical,Coil D circuit fault,Replace ignition coil D
P0355,Ignition Coil E Primary/Secondary Circuit,Hyundai V6 Models,Electrical,Coil E circuit fault,Replace ignition coil E
P0356,Ignition Coil F Primary/Secondary Circuit,Hyundai V6 Models,Electrical,Coil F circuit fault,Replace ignition coil F
P0400,EGR Flow Malfunction,Dacia Logan/Sandero,Mechanical,EGR valve stuck or passages clogged,Clean EGR valve and passages
